站点,水系,日期时间,水位,流量
寸滩,长江,23-06-2020 11:00:00,169.28,20600
武隆,乌江,23-06-2020 11:00:00,186.25,7380
宜昌,长江,23-06-2020 11:04:00,48.46,30400
沙市,长江,23-06-2020 11:00:00,39.36,27100
九江,长江,23-06-2020 11:00:00,16.68,37900
大通,长江,23-06-2020 11:00:00,11.62,41400
城陵矶(七),洞庭湖,23-06-2020 11:00:00,29.22,11800
湖口,鄱阳湖,23-06-2020 11:00:00,16.01,1240
三峡水库(出库),长江,23-06-2020 11:00:00,146.93,31000
丹江口水库(出库),汉江,23-06-2020 11:00:00,159.19,958
武隆,乌江,23-06-2020 12:00:00,185.32,6900
宜昌,长江,23-06-2020 12:00:00,48.58,31200
沙市,长江,23-06-2020 12:00:00,39.39,27200
汉口,长江,23-06-2020 12:00:00,23.11,33500
九江,长江,23-06-2020 12:00:00,16.69,38100
大通,长江,23-06-2020 12:00:00,11.63,41500
城陵矶(七),洞庭湖,23-06-2020 12:00:00,29.23,11800
湖口,鄱阳湖,23-06-2020 12:00:00,16.02,1230
三峡水库(出库),长江,23-06-2020 12:00:00,146.98,31100
寸滩,长江,23-06-2020 12:00:00,169.26,20600
丹江口水库(出库),汉江,23-06-2020 12:00:00,159.19,962
寸滩,长江,23-06-2020 13:00:00,169.18,20400
武隆,乌江,23-06-2020 13:00:00,184.43,6480
宜昌,长江,23-06-2020 13:00:00,48.62,31300
沙市,长江,23-06-2020 13:00:00,39.42,27400
汉口,长江,23-06-2020 13:00:00,23.11,33500
九江,长江,23-06-2020 13:00:00,16.69,38100
大通,长江,23-06-2020 13:00:00,11.65,41600
城陵矶(七),洞庭湖,23-06-2020 13:00:00,29.26,11800
湖口,鄱阳湖,23-06-2020 13:00:00,16.02,1230
三峡水库(出库),长江,23-06-2020 13:00:00,147,31100
丹江口水库(出库),汉江,23-06-2020 13:00:00,159.19,960
寸滩,长江,23-06-2020 14:00:00,169.07,20200
武隆,乌江,23-06-2020 14:00:00,184.06,6330
宜昌,长江,23-06-2020 14:00:00,48.62,31300
沙市,长江,23-06-2020 14:00:00,39.47,27600
汉口,长江,23-06-2020 14:00:00,23.14,33600
九江,长江,23-06-2020 14:00:00,16.71,38300
大通,长江,23-06-2020 14:00:00,11.67,41000
城陵矶(七),洞庭湖,23-06-2020 14:00:00,29.32,11900
湖口,鄱阳湖,23-06-2020 14:00:00,16.03,1220
三峡水库,长江,23-06-2020 14:00:00,147.04,34500
三峡水库(出库),长江,23-06-2020 14:00:00,147.04,31000
丹江口水库,汉江,23-06-2020 14:00:00,159.2,2070
丹江口水库(出库),汉江,23-06-2020 14:00:00,159.2,955
寸滩,长江,23-06-2020 15:00:00,168.94,19900
武隆,乌江,23-06-2020 15:00:00,183.65,6110
宜昌,长江,23-06-2020 15:00:00,48.63,31400
沙市,长江,23-06-2020 15:00:00,39.43,27300
汉口,长江,23-06-2020 15:00:00,23.16,33700
九江,长江,23-06-2020 15:00:00,16.72,38500
大通,长江,23-06-2020 15:00:00,11.71,41100
城陵矶(七),洞庭湖,23-06-2020 15:00:00,29.35,11900
湖口,鄱阳湖,23-06-2020 15:00:00,16.03,1220
三峡水库(出库),长江,23-06-2020 15:00:00,147.08,31000
丹江口水库(出库),汉江,23-06-2020 15:00:00,159.2,951
武隆,乌江,23-06-2020 15:02:00,183.75,6280
寸滩,长江,23-06-2020 16:00:00,168.78,19500
武隆,乌江,23-06-2020 16:00:00,183.72,6150
宜昌,长江,23-06-2020 16:00:00,48.64,31400
沙市,长江,23-06-2020 16:00:00,39.5,27700
汉口,长江,23-06-2020 16:00:00,23.18,33800
九江,长江,23-06-2020 16:00:00,16.73,38700
大通,长江,23-06-2020 16:00:00,11.73,41200
